date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,location,country,lat,lon
2022-06-01,30.5,14.2,23.9,0.0,28.7,21,Herat,Afghanistan,34.3482,62.1997
2022-06-02,32.1,16.6,25.4,0.0,25.9,16,Herat,Afghanistan,34.3482,62.1997
2022-06-03,32.8,15.9,26.1,0.0,29.8,15,Herat,Afghanistan,34.3482,62.1997
2022-06-04,30.1,19.8,24.7,0.0,25.7,15,Herat,Afghanistan,34.3482,62.1997
2022-06-05,31.5,16.5,24.5,0.0,26.9,17,Herat,Afghanistan,34.3482,62.1997
2022-06-06,34.0,17.1,26.1,0.0,22.8,15,Herat,Afghanistan,34.3482,62.1997
2022-06-07,35.3,16.5,26.8,0.0,22.0,13,Herat,Afghanistan,34.3482,62.1997
2022-06-08,36.5,18.2,27.7,0.0,23.2,13,Herat,Afghanistan,34.3482,62.1997
2022-06-09,37.8,20.2,29.5,0.0,21.4,13,Herat,Afghanistan,34.3482,62.1997
2022-06-10,38.2,20.8,30.4,0.0,20.0,13,Herat,Afghanistan,34.3482,62.1997
2022-06-11,34.3,22.6,28.5,0.0,28.9,25,Herat,Afghanistan,34.3482,62.1997
2022-06-12,33.7,21.0,27.4,0.0,21.3,30,Herat,Afghanistan,34.3482,62.1997
2022-06-13,36.5,20.6,28.9,0.0,15.9,24,Herat,Afghanistan,34.3482,62.1997
2022-06-14,40.0,23.7,32.5,0.0,18.6,15,Herat,Afghanistan,34.3482,62.1997
2022-06-15,40.2,24.0,33.0,0.0,22.1,14,Herat,Afghanistan,34.3482,62.1997
2022-06-16,39.2,22.0,31.2,0.0,32.8,17,Herat,Afghanistan,34.3482,62.1997
2022-06-17,35.2,23.2,29.2,0.0,32.7,21,Herat,Afghanistan,34.3482,62.1997
2022-06-18,33.2,20.1,27.1,0.0,26.0,13,Herat,Afghanistan,34.3482,62.1997
2022-06-19,33.7,20.8,27.7,0.0,31.9,20,Herat,Afghanistan,34.3482,62.1997
2022-06-20,31.0,20.1,25.5,0.0,30.0,30,Herat,Afghanistan,34.3482,62.1997
2022-06-21,28.1,18.5,23.5,0.0,29.6,23,Herat,Afghanistan,34.3482,62.1997
2022-06-22,32.2,14.8,24.3,0.0,15.1,22,Herat,Afghanistan,34.3482,62.1997
2022-06-23,39.8,18.7,30.4,0.0,20.9,13,Herat,Afghanistan,34.3482,62.1997
2022-06-24,41.7,25.0,33.5,0.0,23.4,13,Herat,Afghanistan,34.3482,62.1997
2022-06-25,42.8,22.5,33.9,0.0,26.2,12,Herat,Afghanistan,34.3482,62.1997
2022-06-26,40.4,24.0,33.5,0.0,25.6,12,Herat,Afghanistan,34.3482,62.1997
2022-06-27,41.9,25.0,34.5,0.0,27.7,11,Herat,Afghanistan,34.3482,62.1997
2022-06-28,41.5,26.3,35.1,0.0,30.2,11,Herat,Afghanistan,34.3482,62.1997
2022-06-29,41.1,25.0,34.8,0.0,33.2,11,Herat,Afghanistan,34.3482,62.1997
2022-06-30,38.5,27.8,33.2,0.0,37.6,22,Herat,Afghanistan,34.3482,62.1997
2022-07-01,40.0,27.6,34.0,0.0,36.5,13,Herat,Afghanistan,34.3482,62.1997
2022-07-02,41.7,26.0,34.6,0.0,37.5,10,Herat,Afghanistan,34.3482,62.1997
2022-07-03,40.1,23.0,32.8,0.0,38.3,15,Herat,Afghanistan,34.3482,62.1997
2022-07-04,33.5,22.8,27.8,0.0,36.9,28,Herat,Afghanistan,34.3482,62.1997
2022-07-05,32.4,19.5,26.1,0.0,35.3,21,Herat,Afghanistan,34.3482,62.1997
2022-07-06,34.3,21.5,27.8,0.0,29.3,21,Herat,Afghanistan,34.3482,62.1997
2022-07-07,34.5,22.6,28.2,0.0,31.0,18,Herat,Afghanistan,34.3482,62.1997
2022-07-08,36.5,20.0,28.6,0.0,29.5,15,Herat,Afghanistan,34.3482,62.1997
2022-07-09,36.1,21.0,29.3,0.0,33.8,14,Herat,Afghanistan,34.3482,62.1997
2022-07-10,37.0,23.3,29.7,0.0,27.6,14,Herat,Afghanistan,34.3482,62.1997
2022-07-11,35.8,19.8,28.8,0.0,31.1,15,Herat,Afghanistan,34.3482,62.1997
2022-07-12,34.9,23.2,29.2,0.0,36.9,15,Herat,Afghanistan,34.3482,62.1997
2022-07-13,33.5,23.1,28.1,0.0,31.6,21,Herat,Afghanistan,34.3482,62.1997
2022-07-14,35.2,23.2,29.5,0.0,32.7,18,Herat,Afghanistan,34.3482,62.1997
2022-07-15,37.1,22.2,30.4,0.0,34.5,16,Herat,Afghanistan,34.3482,62.1997
2022-07-16,37.5,23.1,31.0,0.0,30.9,11,Herat,Afghanistan,34.3482,62.1997
2022-07-17,39.3,23.2,32.0,0.0,30.4,9,Herat,Afghanistan,34.3482,62.1997
2022-07-18,39.9,21.8,32.4,0.0,30.6,10,Herat,Afghanistan,34.3482,62.1997
2022-07-19,39.0,24.5,32.2,0.0,32.2,13,Herat,Afghanistan,34.3482,62.1997
2022-07-20,38.5,25.3,32.2,0.0,29.4,16,Herat,Afghanistan,34.3482,62.1997
2022-07-21,40.3,23.5,32.5,0.0,24.9,14,Herat,Afghanistan,34.3482,62.1997
2022-07-22,41.7,22.3,33.3,0.0,27.9,12,Herat,Afghanistan,34.3482,62.1997
2022-07-23,39.3,23.7,32.5,0.0,33.2,19,Herat,Afghanistan,34.3482,62.1997
2022-07-24,39.5,27.6,33.7,0.0,31.4,22,Herat,Afghanistan,34.3482,62.1997
2022-07-25,41.3,25.6,34.2,0.0,18.5,18,Herat,Afghanistan,34.3482,62.1997
2022-07-26,38.6,26.4,32.7,0.0,29.2,22,Herat,Afghanistan,34.3482,62.1997
2022-07-27,40.0,25.8,33.5,0.0,26.6,21,Herat,Afghanistan,34.3482,62.1997
2022-07-28,38.9,26.7,33.1,0.0,30.1,22,Herat,Afghanistan,34.3482,62.1997
2022-07-29,38.1,25.0,32.5,0.0,35.0,17,Herat,Afghanistan,34.3482,62.1997
2022-07-30,37.0,28.8,32.1,0.0,28.5,19,Herat,Afghanistan,34.3482,62.1997
2022-07-31,34.8,24.6,29.7,0.0,29.2,25,Herat,Afghanistan,34.3482,62.1997
2022-08-01,35.2,20.9,29.3,0.0,26.3,20,Herat,Afghanistan,34.3482,62.1997
